Методология,Статус в Verra,Как используется / Замена
VM0007,Deprecated,Legacy
VM0008,Deprecated,Legacy
VM0009,Deprecated,Legacy
VM0010,Deprecated,Legacy
VM0011,Deprecated,Legacy
VM0012,Deprecated,Legacy
VM0013,Deprecated,Legacy
VM0014,Deprecated,Legacy
VM0015,Restricted,Только существующие проекты
VM0016,Restricted,Только существующие проекты
VM0017,Restricted,Только существующие проекты
VM0018,Restricted,Только существующие проекты
VM0019,Restricted,Только существующие проекты
VM0023,Restricted,Только существующие проекты
VM0025,Restricted,Только существующие проекты
VM0026,Restricted,Только существующие проекты
VM0032,Restricted,Только существующие проекты
VM0033,Restricted,Только существующие проекты
VM0034,Restricted,Только существующие проекты
VM0038,Restricted,"REDD+, ограничено"
VM0039,Restricted,"REDD+, ограничено"
VM0041,Active,Действующая
VM0042,Active,Действующая
VM0043,Active,Действующая
VM0044,Active,Действующая
VM0045,Active,Действующая
VM0047,Active,ARR
VM0050,Active,Действующая
VM0051,Active,Действующая
VMD0038,Deprecated,Старый модуль
VMR0001,Legacy,Старый VMR
VMR0002,Legacy,Старый VMR
VMR0003,Legacy,Старый VMR
VMR0006,Active,CDM → VCS
VMR0007,Active,Grid / energy
VMR0008,Active,Grid factors
